기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2013	중구	도매 및 소매업	34,681	15,285	92,071	46,633	45,438	31,622	57,798	3,011	33,980	40	243	8	50	33,418	68,424	376	13,968	887	9,679
2013	중구	운수업	1,713	144	12,756	8,537	4,219	951	2,052	721	10,364	39	323	2	17	1,457	5,144	140	5,152	116	2,460
2013	중구	숙박 및 음식점업	5,931	3,135	29,986	12,675	17,311	5,342	17,967	571	11,560	16	451	2	8	5,478	21,482	49	3,956	404	4,548
2013	중구	출판 영상 방송통신 및 정보서비스업	939	150	27,320	18,796	8,524	365	1,053	537	24,731	27	1,511	10	25	813	9,800	61	14,625	65	2,895
2013	중구	금융 및 보험업	1,250	191	53,776	30,845	22,931	285	560	875	46,418	87	6,742	3	56	628	8,191	105	30,902	517	14,683
2013	중구	부동산업 및 임대업	1,498	303	8,130	5,692	2,438	887	1,697	488	5,386	33	279	90	768	1,327	5,018	68	1,664	103	1,448
2013	중구	전문 과학 및 기술 서비스업	2,840	464	35,051	21,915	13,136	1,962	5,574	722	26,930	130	2,336	26	211	2,552	13,261	177	19,192	111	2,598
2013	중구	사업시설관리 및 사업지원 서비스업	1,290	261	26,964	12,464	14,500	438	1,155	815	24,927	15	752	22	130	1,061	11,436	104	12,323	125	3,205
2013	중구	공공행정 국방 및 사회보장 행정	73	8	20,251	13,649	6,602	-	-	-	-	73	20,251	-	-	71	19,202	2	1,049	-	-
2013	중구	교육 서비스업	510	228	7,644	3,566	4,078	282	737	102	1,427	94	5,245	32	235	421	3,155	23	3,240	66	1,249
2013	중구	보건업 및 사회복지 서비스업	673	184	8,097	2,303	5,794	573	3,492	6	128	58	4,099	36	378	636	6,294	6	304	31	1,499
2013	중구	예술 스포츠 및 여가관련 서비스업	619	187	3,613	1,952	1,661	520	1,067	48	1,222	34	1,226	17	98	587	2,478	4	175	28	960
2013	중구	협회 및 단체 수리 및 기타 개인서비스업	2,456	796	9,487	5,178	4,309	1,572	3,303	82	904	317	3,380	485	1,900	2,309	7,258	54	1,515	93	714
2013	용산구	합계	20,067	6,562	127,151	73,301	53,850	14,793	35,306	4,276	65,869	531	21,913	467	4,063	18,463	72,039	475	30,696	1,129	24,416
2013	용산구	광업	1	-	7	4	3	-	-	1	7	-	-	-	-	-	-	1	7	-	-
2013	용산구	제조업	1,005	187	3,485	2,002	1,483	899	2,717	103	728	2	39	1	1	983	3,230	15	193	7	62
2013	용산구	전기 가스 증기 및 수도사업	2	-	5	2	3	1	1	1	4	-	-	-	-	1	1	1	4	-	-
2013	용산구	하수폐기물처리 원료재생 및 환경복원업	8	3	126	106	20	1	3	4	85	3	38	-	-	6	90	-	-	2	36
2013	용산구	건설업	414	40	10,658	9,085	1,573	208	358	202	9,850	4	450	-	-	372	2,787	19	4,839	23	3,032
2013	용산구	도매 및 소매업	7,661	2,201	29,140	19,102	10,038	5,284	10,158	2,357	18,673	17	258	3	51	7,066	19,153	205	6,293	390	3,694
2013	용산구	운수업	1,354	79	4,258	3,470	788	1,240	1,588	90	1,702	24	968	-	-	1,291	2,303	19	521	44	1,434
2013	용산구	숙박 및 음식점업	3,743	2,128	15,908	7,188	8,720	3,410	10,572	322	5,251	7	74	4	11	3,522	11,986	28	1,599	193	2,323
2013	용산구	출판 영상 방송통신 및 정보서비스업	475	75	7,607	4,570	3,037	181	544	274	6,245	19	817	1	1	431	3,319	17	1,272	27	3,016
2013	용산구	금융 및 보험업	285	38	6,178	3,075	3,103	41	66	200	5,566	43	535	1	11	86	422	17	1,169	182	4,587
2013	용산구	부동산업 및 임대업	1,023	352	3,909	2,613	1,296	773	1,211	127	1,368	17	129	106	1,201	977	3,079	16	537	30	293
2013	용산구	전문 과학 및 기술 서비스업	610	91	10,439	6,852	3,587	316	881	241	5,731	45	3,808	8	19	524	2,971	46	6,819	40	649
2013	용산구	사업시설관리 및 사업지원 서비스업	302	79	9,229	3,646	5,583	102	867	185	8,150	7	123	8	89	249	4,723	22	3,237	31	1,269
2013	용산구	공공행정 국방 및 사회보장 행정	48	1	4,152	2,674	1,478	-	-	-	-	48	4,152	-	-	48	4,152	-	-	-	-
2013	용산구	교육 서비스업	509	280	7,631	2,522	5,109	346	944	55	817	84	5,474	24	396	438	3,858	17	2,611	54	1,162
2013	용산구	보건업 및 사회복지 서비스업	459	177	5,541	1,468	4,073	365	1,869	4	73	39	2,797	51	802	429	3,048	11	647	19	1,846
2013	용산구	예술 스포츠 및 여가관련 서비스업	391	146	2,218	1,182	1,036	336	753	28	494	19	936	8	35	375	1,621	6	380	10	217
2013	용산구	협회 및 단체 수리 및 기타 개인서비스업	1,777	685	6,660	3,740	2,920	1,290	2,774	82	1,125	153	1,315	252	1,446	1,665	5,296	35	568	77	796
2013	성동구	합계	24,803	7,090	143,803	86,824	56,979	19,079	47,295	4,629	72,348	464	20,648	631	3,512	23,376	97,567	492	22,804	935	23,432
2013	성동구	광업	1	-	2	1	1	-	-	1	2	-	-	-	-	-	-	1	2	-	-
2013	성동구	제조업	4,455	744	28,823	18,402	10,421	3,564	13,005	887	15,789	3	28	1	1	4,223	20,967	132	4,240	100	3,616
2013	성동구	전기 가스 증기 및 수도사업	10	-	756	664	92	1	2	4	348	5	406	-	-	5	253	2	342	3	161
2013	성동구	하수폐기물처리 원료재생 및 환경복원업	24	1	399	352	47	-	-	14	192	10	207	-	-	20	374	1	11	3	14
2013	성동구	건설업	596	68	5,031	4,203	828	303	645	290	4,365	1	6	2	15	553	4,133	23	702	20	196
2013	성동구	도매 및 소매업	6,655	1,956	25,469	16,086	9,383	4,852	10,250	1,789	15,026	14	193	-	-	6,229	18,529	158	3,938	268	3,002
2013	성동구	운수업	2,737	100	8,113	7,219	894	2,593	3,124	98	3,261	43	1,724	3	4	2,681	5,541	14	883	42	1,689
2013	성동구	숙박 및 음식점업	3,311	1,936	9,734	3,684	6,050	3,189	8,429	116	1,266	3	23	3	16	3,216	8,656	7	53	88	1,025
2013	성동구	출판 영상 방송통신 및 정보서비스업	530	57	5,851	4,405	1,446	131	371	387	5,346	11	132	1	2	491	4,751	24	626	15	474
2013	성동구	금융 및 보험업	295	50	3,110	1,365	1,745	106	139	144	2,533	45	438	-	-	158	458	13	322	124	2,330
2013	성동구	부동산업 및 임대업	1,056	316	4,251	3,067	1,184	730	1,246	166	1,754	12	43	148	1,208	1,003	3,255	15	717	38	279
2013	성동구	전문 과학 및 기술 서비스업	839	135	8,579	5,875	2,704	401	1,278	381	6,569	53	713	4	19	718	5,008	59	2,239	62	1,332
2013	성동구	사업시설관리 및 사업지원 서비스업	266	58	14,006	7,227	6,779	116	486	138	11,719	7	1,762	5	39	221	5,405	13	7,732	32	869
2013	성동구	공공행정 국방 및 사회보장 행정	44	2	3,807	2,703	1,104	-	-	-	-	44	3,807	-	-	44	3,807	-	-	-	-
2013	성동구	교육 서비스업	745	400	10,030	3,840	6,190	556	1,414	60	1,275	83	7,019	46	322	687	5,123	10	609	48	4,298
2013	성동구	보건업 및 사회복지 서비스업	582	242	6,338	1,604	4,734	477	2,839	2	43	26	2,628	77	828	561	3,860	3	26	18	2,452
2013	성동구	예술 스포츠 및 여가관련 서비스업	541	214	2,041	1,168	873	496	1,085	14	107	14	795	17	54	530	1,686	2	3	9	352
2013	성동구	협회 및 단체 수리 및 기타 개인서비스업	2,116	811	7,463	4,959	2,504	1,564	2,982	138	2,753	90	724	324	1,004	2,036	5,761	15	359	65	1,343
2013	광진구	합계	24,676	8,706	119,965	68,186	51,779	20,554	50,120	2,984	47,229	423	19,084	715	3,532	23,443	83,728	288	14,980	945	21,257
2013	광진구	제조업	1,895	436	8,612	4,528	4,084	1,639	5,572	254	2,839	2	201	-	-	1,853	7,128	28	1,175	14	309
2013	광진구	전기 가스 증기 및 수도사업	3	-	114	106	8	-	-	1	12	2	102	-	-	1	94	-	-	2	20
2013	광진구	하수폐기물처리 원료재생 및 환경복원업	13	-	128	120	8	1	1	8	120	4	7	-	-	11	102	-	-	2	26
2013	광진구	건설업	770	96	10,326	9,231	1,095	433	938	337	9,388	-	-	-	-	725	8,567	18	868	27	891
2013	광진구	도매 및 소매업	6,236	2,238	19,027	10,552	8,475	5,108	10,754	1,115	8,197	10	66	3	10	5,812	14,789	93	1,021	331	3,217
2013	광진구	운수업	2,587	105	7,595	7,079	516	2,492	2,779	72	4,351	21	463	2	2	2,524	4,386	14	975	49	2,234
2013	광진구	숙박 및 음식점업	4,612	2,629	16,610	7,141	9,469	4,447	12,745	150	3,723	12	134	3	8	4,499	13,115	5	50	108	3,445
2013	광진구	출판 영상 방송통신 및 정보서비스업	362	57	3,792	2,554	1,238	152	429	200	2,326	10	1,037	-	-	339	2,922	6	257	17	613
