,title,url,date,summary
35,"SK㈜ C&C, 美 머신러닝 기업 '타머' 주최 포럼 참석",https://cp.news.search.daum.net/p/97174227, 2020.09.09 | The Guru ,[더구루=김도담 기자] SK㈜ C&C가 삼성도 투자한 미국의 유력 머신러닝 기업 타머(Tamr)가 여는 포럼에 참석한다. SK C&C 머신러닝 부문의 협력 확대 계기가 될 수 있을지...
36,"사이버 괴롭힘 막아라...인스타그램, 머신러닝 AI·리뷰팀 적극 활용",https://cp.news.search.daum.net/p/97406913, 2020.09.15 | 디지털투데이 ,인스타그램은 안전한 플랫폼을 만들기 위해 커뮤니티 가이드라인을 운영하고 있고 머신러닝 인공지능(AI) 기술과 리뷰팀 인력을 동시에 적용하고 있다. 코로나19 확산으로...
37,머신러닝ㆍ블록체인 활용 19개 프로젝트 수행,https://cp.news.search.daum.net/p/96744537, 2020.08.27 | 일간제주 ,대학교(총장 송석언)는 제주국제자유도시개발센터(이하 JDC)와 공동으로 개최한 머신러닝 `UMLC2020 × 블록체인 캠프`가 지난 17일부터 시작돼 26일 성공적으로 마무리...
38,"신한은행, ‘머신러닝’ 활용 자금세탁방지 보고 체계 고도화",https://cp.news.search.daum.net/p/97122433, 2020.09.08 | 일요서울 ,"[일요서울 | 이창환 기자] 신한은행은 자금세탁방지(AML) 업무에 머신러닝(AI), RPA 등 디지털 기술을 적용하는 ‘자금세탁방지 고도화 프로젝트’를 성공적으로 완료했다고..."
39,"서초구, 청년 대상 'AI로봇코딩 칼리지' 운영",http://v.media.daum.net/v/20201012102619577?f=o, 7시간전 | 뉴시스 | 다음뉴스 ,"과정이다. 고급반에서는 파이썬 언어를 사용해 자율주행, 안면인식, 로보틱스, 머신러닝 등으로 AI로봇 실습 장비의 로봇 축구와 군무가 구현된다. 모집은 21일까지 진행..."
40,[정종기의 AI시대 저널리즘] 인공지능(AI)이 일자리 일부를 대체...,https://cp.news.search.daum.net/p/98231982, 3시간전 | 오늘경제 ,"확산되고 있다. 최근의 디지털 트랜스포메이션 흐름에서 주목받는 기술 역시 머신러닝, 딥러닝, RPA 등 사람을 중심으로 한다는 공통의 특징을 가지고 있다. 즉, 주목받는..."
41,"[MHN IT] 노트북보다 빠르다, 5나노 공정, 머신러닝 탑재 '아이패...",https://cp.news.search.daum.net/p/97470244, 2020.09.17 | 문화뉴스 ,게임을 원활하게 즐길 수 있다. 거기다 차세대 뉴럴 엔진(Neural Engine)으로 머신 러닝 성능이 2배 증가하였고 연산 처리 속도는 10배 증가하였다. 이외에도 10.9형 레티나...
42,[이슈] 인공지능 머신러닝 기반 주식 추천은 한계가 있다?,https://cp.news.search.daum.net/p/96751275, 2020.08.28 | 인공지능신문 ,수요와 신제품 및 기존 금융 계정에 대한 항상과 사용 가능한 액세스로 인해 AI 및 머신러닝 솔루션의 활용도가 급속히 증가하고 있다. 이러한 솔루션은 고객과의 보다 강력...
43,4세대 아이패드 에어를 사야 할 네 가지 이유-아이패드 에어로 갈...,http://v.media.daum.net/v/20201011020604847?f=o, 2020.10.11 | 시티라이프 | 다음뉴스 ,30% 향상시키기 위해 새로운 4코어 그래픽 아키텍처도 적용했다. 이게 끝이 아니다. 머신러닝 역량을 구현하려면 더 크고 빠른 계산능력이 필요하다. A14 바이오닉은 초당...
44,"반도체 인수합병 경쟁 치열,"" NXP 포함 남은 인수대상 주목받아""",https://cp.news.search.daum.net/p/98219391, 7시간전 | 비즈니스포스트 ,"처리장치, 프로그래머블칩 등 다른 종류 반도체를 섞어서 부족한 성능을 보완하는 것이 머신러닝 연산의 최근 추세""라며 ""독자적으로 보유하지 못한 기술을 확충하기 위해..."
